zone_id,date,event_count,event_type
Z001,2025-01-01,3.0,N
Z001,2025-01-02,1.0,
Z001,2025-01-03,9.0,N
Z001,2025-01-04,8.0,
Z001,2025-01-05,8.0,n
Z001,2025-01-06,0.0,N
Z001,2025-01-07,0.0,C
Z001,2025-01-08,7.0,N
Z001,2025-01-09,8.0,N
Z001,2025-01-10,2.0,N
Z001,2025-01-11,2.0,C
Z001,2025-01-12,1.0,N
Z001,2025-01-13,8.0,N
Z001,2025-01-14,1.0,N
Z001,2025-01-15,6.0,N
Z001,2025-01-16,1.0,C
Z001,2025-01-17,9.0,C
Z001,2025-01-18,9.0,N
Z001,2025-01-19,5.0,N
Z001,2025-01-20,,N
Z001,2025-01-21,0.0,N
Z001,2025-01-22,5.0,C
Z001,2025-01-23,1.0,C
Z001,2025-01-24,6.0,N
Z001,2025-01-25,8.0,C
Z001,2025-01-26,0.0,N
Z001,2025-01-27,3.0,n
Z001,2025-01-28,4.0,C
Z001,2025-01-29,8.0,N
Z001,2025-01-30,2.0,C
Z001,2025-01-31,5.0,
Z001,2025-02-01,4.0,C
Z001,2025-02-02,4.0,N
Z001,2025-02-03,1.0,N
Z001,2025-02-04,9.0,N
Z001,2025-02-05,4.0,N
Z001,2025-02-06,2.0,N
Z001,2025-02-07,1.0,N
Z001,2025-02-08,5.0,N
Z001,2025-02-09,0.0,N
Z001,2025-02-10,5.0,N
Z001,2025-02-11,7.0,N
Z001,2025-02-12,2.0,N
Z001,2025-02-13,9.0,N
Z001,2025-02-14,6.0,C
Z001,2025-02-15,2.0,N
Z001,2025-02-16,5.0,C
Z001,2025-02-17,6.0,N
Z001,2025-02-18,2.0,N
Z001,2025-02-19,4.0,N
Z001,2025-02-20,2.0,C
Z001,2025-02-21,3.0,N
Z001,2025-02-22,4.0,N
Z001,2025-02-23,6.0,N
Z001,2025-02-24,3.0,N
Z001,2025-02-25,3.0,N
Z001,2025-02-26,1.0,N
Z001,2025-02-27,4.0,S
Z001,2025-02-28,2.0,N
Z001,2025-03-01,,N
Z001,2025-03-02,7.0,C
Z001,2025-03-03,3.0,N
Z001,2025-03-04,5.0,N
Z001,2025-03-05,2.0,N
Z001,2025-03-06,0.0,N
Z001,2025-03-07,3.0,C
Z001,2025-03-08,5.0,N
Z001,2025-03-09,8.0,N
Z001,2025-03-10,4.0,N
Z001,2025-03-11,6.0,
Z001,2025-03-12,0.0,N
Z001,2025-03-13,7.0,N
Z001,2025-03-14,3.0,C
Z001,2025-03-15,7.0,N
Z001,2025-03-16,8.0,N
Z001,2025-03-17,2.0,N
Z001,2025-03-18,3.0,S
Z001,2025-03-19,5.0,N
Z001,2025-03-20,2.0,N
Z001,2025-03-21,8.0,N
Z001,2025-03-22,2.0,N
Z001,2025-03-23,6.0,N
Z001,2025-03-24,6.0,C
Z001,2025-03-25,4.0,N
Z001,2025-03-26,5.0,N
Z001,2025-03-27,0.0,N
Z001,2025-03-28,2.0,N
Z001,2025-03-29,2.0,N
Z001,2025-03-30,1.0,N
Z001,2025-03-31,0.0,N
Z002,2025-01-01,8.0,S
Z002,2025-01-02,3.0,C
Z002,2025-01-03,7.0,C
Z002,2025-01-04,6.0,C
Z002,2025-01-05,5.0,N
Z002,2025-01-06,,C
Z002,2025-01-07,2.0,C
Z002,2025-01-08,4.0,S
Z002,2025-01-09,0.0,N
Z002,2025-01-10,0.0,S
Z002,2025-01-11,9.0,N
Z002,2025-01-12,8.0,N
Z002,2025-01-13,0.0,
Z002,2025-01-14,3.0,N
Z002,2025-01-15,,n
Z002,2025-01-16,8.0,N
Z002,2025-01-17,5.0,S
Z002,2025-01-18,7.0,C
Z002,2025-01-19,5.0,N
Z002,2025-01-20,7.0,N
Z002,2025-01-21,6.0,N
Z002,2025-01-22,8.0,
Z002,2025-01-23,8.0,N
Z002,2025-01-24,,S
Z002,2025-01-25,4.0,N
Z002,2025-01-26,1.0,N
Z002,2025-01-27,5.0,N
Z002,2025-01-28,3.0,N
Z002,2025-01-29,7.0,N
Z002,2025-01-30,9.0,
Z002,2025-01-31,3.0,N
Z002,2025-02-01,5.0,C
Z002,2025-02-02,0.0,N
Z002,2025-02-03,3.0,C
Z002,2025-02-04,3.0,N
Z002,2025-02-05,5.0,C
Z002,2025-02-06,7.0,C
Z002,2025-02-07,3.0,N
Z002,2025-02-08,,N
Z002,2025-02-09,,N
Z002,2025-02-10,7.0,N
Z002,2025-02-11,,N
Z002,2025-02-12,3.0,N
Z002,2025-02-13,4.0,N
Z002,2025-02-14,1.0,N
Z002,2025-02-15,8.0,N
Z002,2025-02-16,7.0,
Z002,2025-02-17,1.0,C
Z002,2025-02-18,7.0,N
Z002,2025-02-19,,N
Z002,2025-02-20,0.0,N
Z002,2025-02-21,9.0,
Z002,2025-02-22,3.0,N
Z002,2025-02-23,4.0,C
Z002,2025-02-24,1.0,N
Z002,2025-02-25,9.0,N
Z002,2025-02-26,4.0,C
Z002,2025-02-27,0.0,N
Z002,2025-02-28,1.0,
Z002,2025-03-01,0.0,C
Z002,2025-03-02,1.0,C
Z002,2025-03-03,1.0,N
Z002,2025-03-04,6.0,N
Z002,2025-03-05,6.0,C
Z002,2025-03-06,6.0,C
Z002,2025-03-07,1.0,C
Z002,2025-03-08,2.0,N
Z002,2025-03-09,1.0,N
Z002,2025-03-10,4.0,N
Z002,2025-03-11,2.0,N
Z002,2025-03-12,,N
Z002,2025-03-13,5.0,N
Z002,2025-03-14,5.0,
Z002,2025-03-15,4.0,N
Z002,2025-03-16,1.0,N
Z002,2025-03-17,7.0,S
Z002,2025-03-18,5.0,
Z002,2025-03-19,1.0,N
Z002,2025-03-20,0.0,N
Z002,2025-03-21,,N
Z002,2025-03-22,1.0,N
Z002,2025-03-23,3.0,N
Z002,2025-03-24,3.0,C
Z002,2025-03-25,8.0,N
Z002,2025-03-26,9.0,N
Z002,2025-03-27,9.0,N
Z002,2025-03-28,6.0,N
Z002,2025-03-29,8.0,N
Z002,2025-03-30,5.0,C
Z002,2025-03-31,0.0,N
Z003,2025-01-01,9.0,N
Z003,2025-01-02,7.0,C
Z003,2025-01-03,3.0,N
Z003,2025-01-04,,C
Z003,2025-01-05,7.0,N
Z003,2025-01-06,2.0,N
Z003,2025-01-07,5.0,N
Z003,2025-01-08,3.0,N
Z003,2025-01-09,9.0,N
Z003,2025-01-10,3.0,N
Z003,2025-01-11,1.0,N
Z003,2025-01-12,3.0,N
Z003,2025-01-13,0.0,S
Z003,2025-01-14,0.0,N
Z003,2025-01-15,4.0,N
Z003,2025-01-16,0.0,N
Z003,2025-01-17,2.0,N
Z003,2025-01-18,2.0,N
Z003,2025-01-19,9.0,N
Z003,2025-01-20,3.0,N
Z003,2025-01-21,0.0,N
Z003,2025-01-22,6.0,N
Z003,2025-01-23,3.0,C
Z003,2025-01-24,6.0,C
Z003,2025-01-25,4.0,N
Z003,2025-01-26,0.0,C
Z003,2025-01-27,3.0,S
Z003,2025-01-28,4.0,N
Z003,2025-01-29,3.0,N
Z003,2025-01-30,6.0,N
Z003,2025-01-31,0.0,N
Z003,2025-02-01,8.0,N
Z003,2025-02-02,5.0,n
Z003,2025-02-03,7.0,N
Z003,2025-02-04,7.0,N
Z003,2025-02-05,8.0,N
Z003,2025-02-06,4.0,
Z003,2025-02-07,7.0,N
Z003,2025-02-08,7.0,N
Z003,2025-02-09,5.0,N
Z003,2025-02-10,9.0,N
Z003,2025-02-11,7.0,C
Z003,2025-02-12,4.0,C
Z003,2025-02-13,9.0,
Z003,2025-02-14,7.0,N
Z003,2025-02-15,,N
Z003,2025-02-16,2.0,N
Z003,2025-02-17,3.0,S
Z003,2025-02-18,,S
Z003,2025-02-19,4.0,
Z003,2025-02-20,4.0,c
Z003,2025-02-21,4.0,N
Z003,2025-02-22,1.0,N
Z003,2025-02-23,8.0,N
Z003,2025-02-24,6.0,C
Z003,2025-02-25,,
Z003,2025-02-26,1.0,N
Z003,2025-02-27,9.0,N
Z003,2025-02-28,9.0,N
Z003,2025-03-01,6.0,n
Z003,2025-03-02,2.0,N
Z003,2025-03-03,4.0,N
Z003,2025-03-04,6.0,C
Z003,2025-03-05,8.0,S
Z003,2025-03-06,9.0,N
Z003,2025-03-07,0.0,N
Z003,2025-03-08,5.0,N
Z003,2025-03-09,,N
Z003,2025-03-10,1.0,S
Z003,2025-03-11,9.0,N
Z003,2025-03-12,8.0,C
Z003,2025-03-13,4.0,C
Z003,2025-03-14,8.0,C
Z003,2025-03-15,3.0,C
Z003,2025-03-16,4.0,N
Z003,2025-03-17,4.0,S
Z003,2025-03-18,4.0,S
Z003,2025-03-19,8.0,S
Z003,2025-03-20,0.0,N
Z003,2025-03-21,7.0,N
Z003,2025-03-22,6.0,N
Z003,2025-03-23,0.0,N
Z003,2025-03-24,1.0,N
Z003,2025-03-25,0.0,C
Z003,2025-03-26,3.0,c
Z003,2025-03-27,9.0,N
Z003,2025-03-28,8.0,N
Z003,2025-03-29,0.0,N
Z003,2025-03-30,2.0,N
Z003,2025-03-31,6.0,N
Z004,2025-01-01,,N
Z004,2025-01-02,5.0,N
Z004,2025-01-03,6.0,
Z004,2025-01-04,5.0,N
Z004,2025-01-05,7.0,N
Z004,2025-01-06,1.0,N
Z004,2025-01-07,0.0,N
Z004,2025-01-08,6.0,C
Z004,2025-01-09,2.0,N
Z004,2025-01-10,3.0,N
Z004,2025-01-11,6.0,C
Z004,2025-01-12,1.0,C
Z004,2025-01-13,6.0,N
Z004,2025-01-14,3.0,N
Z004,2025-01-15,8.0,N
Z004,2025-01-16,0.0,S
Z004,2025-01-17,,N
Z004,2025-01-18,7.0,C
Z004,2025-01-19,6.0,C
Z004,2025-01-20,1.0,C
Z004,2025-01-21,4.0,N
Z004,2025-01-22,6.0,N
Z004,2025-01-23,4.0,N
Z004,2025-01-24,,S
Z004,2025-01-25,0.0,C
Z004,2025-01-26,4.0,N
Z004,2025-01-27,9.0,N
Z004,2025-01-28,,N
Z004,2025-01-29,0.0,C
Z004,2025-01-30,9.0,N
Z004,2025-01-31,3.0,N
Z004,2025-02-01,6.0,N
Z004,2025-02-02,6.0,S
Z004,2025-02-03,1.0,N
Z004,2025-02-04,1.0,C
Z004,2025-02-05,0.0,S
Z004,2025-02-06,1.0,N
Z004,2025-02-07,8.0,N
Z004,2025-02-08,8.0,N
Z004,2025-02-09,6.0,S
Z004,2025-02-10,2.0,N
Z004,2025-02-11,,N
Z004,2025-02-12,3.0,N
Z004,2025-02-13,4.0,N
Z004,2025-02-14,9.0,N
Z004,2025-02-15,4.0,N
Z004,2025-02-16,1.0,
Z004,2025-02-17,8.0,N
Z004,2025-02-18,5.0,N
Z004,2025-02-19,5.0,N
Z004,2025-02-20,0.0,N
Z004,2025-02-21,1.0,S
Z004,2025-02-22,3.0,N
Z004,2025-02-23,7.0,N
Z004,2025-02-24,7.0,N
Z004,2025-02-25,8.0,N
Z004,2025-02-26,0.0,C
Z004,2025-02-27,7.0,N
Z004,2025-02-28,3.0,C
Z004,2025-03-01,4.0,N
Z004,2025-03-02,9.0,n
Z004,2025-03-03,4.0,N
Z004,2025-03-04,,C
Z004,2025-03-05,2.0,N
Z004,2025-03-06,4.0,N
Z004,2025-03-07,6.0,N
Z004,2025-03-08,5.0,N
Z004,2025-03-09,1.0,C
Z004,2025-03-10,7.0,N
Z004,2025-03-11,8.0,S
Z004,2025-03-12,8.0,C
Z004,2025-03-13,8.0,N
Z004,2025-03-14,,S
Z004,2025-03-15,9.0,S
Z004,2025-03-16,2.0,
Z004,2025-03-17,3.0,N
Z004,2025-03-18,1.0,S
Z004,2025-03-19,5.0,N
Z004,2025-03-20,6.0,N
Z004,2025-03-21,8.0,
Z004,2025-03-22,0.0,N
Z004,2025-03-23,6.0,N
Z004,2025-03-24,4.0,S
Z004,2025-03-25,2.0,N
Z004,2025-03-26,4.0,N
Z004,2025-03-27,5.0,N
Z004,2025-03-28,3.0,C
Z004,2025-03-29,9.0,S
Z004,2025-03-30,,C
Z004,2025-03-31,0.0,N
Z005,2025-01-01,9.0,S
Z005,2025-01-02,5.0,N
Z005,2025-01-03,9.0,S
Z005,2025-01-04,1.0,N
Z005,2025-01-05,6.0,N
Z005,2025-01-06,8.0,S
Z005,2025-01-07,5.0,C
Z005,2025-01-08,9.0,N
Z005,2025-01-09,8.0,C
Z005,2025-01-10,7.0,C
Z005,2025-01-11,4.0,S
Z005,2025-01-12,7.0,N
Z005,2025-01-13,4.0,N
Z005,2025-01-14,7.0,S
Z005,2025-01-15,6.0,
Z005,2025-01-16,4.0,n
Z005,2025-01-17,7.0,C
Z005,2025-01-18,5.0,N
Z005,2025-01-19,6.0,C
Z005,2025-01-20,4.0,C
Z005,2025-01-21,7.0,N
Z005,2025-01-22,7.0,S
Z005,2025-01-23,0.0,S
Z005,2025-01-24,7.0,N
Z005,2025-01-25,9.0,C
Z005,2025-01-26,7.0,N
Z005,2025-01-27,6.0,N
Z005,2025-01-28,5.0,N
Z005,2025-01-29,,N
Z005,2025-01-30,2.0,S
Z005,2025-01-31,6.0,
Z005,2025-02-01,,
Z005,2025-02-02,7.0,N
Z005,2025-02-03,4.0,N
Z005,2025-02-04,2.0,C
Z005,2025-02-05,5.0,N
Z005,2025-02-06,5.0,S
Z005,2025-02-07,5.0,C
Z005,2025-02-08,7.0,N
Z005,2025-02-09,0.0,S
Z005,2025-02-10,9.0,N
Z005,2025-02-11,0.0,C
Z005,2025-02-12,9.0,N
Z005,2025-02-13,6.0,N
Z005,2025-02-14,2.0,N
Z005,2025-02-15,7.0,C
Z005,2025-02-16,2.0,N
Z005,2025-02-17,5.0,N
Z005,2025-02-18,,N
Z005,2025-02-19,1.0,N
Z005,2025-02-20,6.0,C
Z005,2025-02-21,5.0,N
Z005,2025-02-22,0.0,C
Z005,2025-02-23,9.0,N
Z005,2025-02-24,6.0,S
Z005,2025-02-25,3.0,C
Z005,2025-02-26,0.0,N
Z005,2025-02-27,,N
Z005,2025-02-28,2.0,
Z005,2025-03-01,8.0,N
Z005,2025-03-02,6.0,N
Z005,2025-03-03,7.0,N
Z005,2025-03-04,,N
Z005,2025-03-05,9.0,C
Z005,2025-03-06,8.0,N
Z005,2025-03-07,2.0,C
Z005,2025-03-08,7.0,N
Z005,2025-03-09,1.0,N
