zone_id,date,tourist_visits
Z001,2025-01-01,700.0
Z001,2025-01-02,273.0
Z001,2025-01-03,41.0
Z001,2025-01-04,998.0
Z001,2025-01-05,67.0
Z001,2025-01-06,708.0
Z001,2025-01-07,
Z001,2025-01-08,305.0
Z001,2025-01-09,111.0
Z001,2025-01-10,403.0
Z001,2025-01-11,
Z001,2025-01-12,406.0
Z001,2025-01-13,30.0
Z001,2025-01-14,769.0
Z001,2025-01-15,271.0
Z001,2025-01-16,579.0
Z001,2025-01-17,88.0
Z001,2025-01-18,
Z001,2025-01-19,254.0
Z001,2025-01-20,388.0
Z001,2025-01-21,811.0
Z001,2025-01-22,869.0
Z001,2025-01-23,616.0
Z001,2025-01-24,103.0
Z001,2025-01-25,943.0
Z001,2025-01-26,287.0
Z001,2025-01-27,243.0
Z001,2025-01-28,325.0
Z001,2025-01-29,241.0
Z001,2025-01-30,934.0
Z001,2025-01-31,494.0
Z001,2025-02-01,924.0
Z001,2025-02-02,317.0
Z001,2025-02-03,834.0
Z001,2025-02-04,982.0
Z001,2025-02-05,111.0
Z001,2025-02-06,63.0
Z001,2025-02-07,116.0
Z001,2025-02-08,57.0
Z001,2025-02-09,865.0
Z001,2025-02-10,288.0
Z001,2025-02-11,745.0
Z001,2025-02-12,222.0
Z001,2025-02-13,163.0
Z001,2025-02-14,504.0
Z001,2025-02-15,864.0
Z001,2025-02-16,144.0
Z001,2025-02-17,873.0
Z001,2025-02-18,286.0
Z001,2025-02-19,305.0
Z001,2025-02-20,900.0
Z001,2025-02-21,243.0
Z001,2025-02-22,343.0
Z001,2025-02-23,874.0
Z001,2025-02-24,686.0
Z001,2025-02-25,626.0
Z001,2025-02-26,125.0
Z001,2025-02-27,865.0
Z001,2025-02-28,23.0
Z001,2025-03-01,662.0
Z001,2025-03-02,705.0
Z001,2025-03-03,398.0
Z001,2025-03-04,678.0
Z001,2025-03-05,536.0
Z001,2025-03-06,44.0
Z001,2025-03-07,820.0
Z001,2025-03-08,630.0
Z001,2025-03-09,270.0
Z001,2025-03-10,171.0
Z001,2025-03-11,869.0
Z001,2025-03-12,247.0
Z001,2025-03-13,40.0
Z001,2025-03-14,749.0
Z001,2025-03-15,238.0
Z001,2025-03-16,406.0
Z001,2025-03-17,731.0
Z001,2025-03-18,582.0
Z001,2025-03-19,
Z001,2025-03-20,886.0
Z001,2025-03-21,96.0
Z001,2025-03-22,634.0
Z001,2025-03-23,722.0
Z001,2025-03-24,244.0
Z001,2025-03-25,13.0
Z001,2025-03-26,
Z001,2025-03-27,
Z001,2025-03-28,670.0
Z001,2025-03-29,258.0
Z001,2025-03-30,721.0
Z001,2025-03-31,458.0
Z002,2025-01-01,879.0
Z002,2025-01-02,14.0
Z002,2025-01-03,756.0
Z002,2025-01-04,239.0
Z002,2025-01-05,843.0
Z002,2025-01-06,734.0
Z002,2025-01-07,313.0
Z002,2025-01-08,358.0
Z002,2025-01-09,59.0
Z002,2025-01-10,617.0
Z002,2025-01-11,857.0
Z002,2025-01-12,
Z002,2025-01-13,531.0
Z002,2025-01-14,265.0
Z002,2025-01-15,359.0
Z002,2025-01-16,879.0
Z002,2025-01-17,351.0
Z002,2025-01-18,836.0
Z002,2025-01-19,53.0
Z002,2025-01-20,298.0
Z002,2025-01-21,846.0
Z002,2025-01-22,973.0
Z002,2025-01-23,438.0
Z002,2025-01-24,848.0
Z002,2025-01-25,307.0
Z002,2025-01-26,262.0
Z002,2025-01-27,256.0
Z002,2025-01-28,
Z002,2025-01-29,646.0
Z002,2025-01-30,75.0
Z002,2025-01-31,519.0
Z002,2025-02-01,959.0
Z002,2025-02-02,292.0
Z002,2025-02-03,617.0
Z002,2025-02-04,172.0
Z002,2025-02-05,178.0
Z002,2025-02-06,314.0
Z002,2025-02-07,130.0
Z002,2025-02-08,832.0
Z002,2025-02-09,935.0
Z002,2025-02-10,3.0
Z002,2025-02-11,
Z002,2025-02-12,87.0
Z002,2025-02-13,299.0
Z002,2025-02-14,254.0
Z002,2025-02-15,293.0
Z002,2025-02-16,877.0
Z002,2025-02-17,600.0
Z002,2025-02-18,287.0
Z002,2025-02-19,299.0
Z002,2025-02-20,4.0
Z002,2025-02-21,235.0
Z002,2025-02-22,
Z002,2025-02-23,399.0
Z002,2025-02-24,750.0
Z002,2025-02-25,891.0
Z002,2025-02-26,88.0
Z002,2025-02-27,
Z002,2025-02-28,283.0
Z002,2025-03-01,371.0
Z002,2025-03-02,983.0
Z002,2025-03-03,767.0
Z002,2025-03-04,273.0
Z002,2025-03-05,577.0
Z002,2025-03-06,63.0
Z002,2025-03-07,272.0
Z002,2025-03-08,401.0
Z002,2025-03-09,738.0
Z002,2025-03-10,565.0
Z002,2025-03-11,419.0
Z002,2025-03-12,277.0
Z002,2025-03-13,897.0
Z002,2025-03-14,874.0
Z002,2025-03-15,950.0
Z002,2025-03-16,314.0
Z002,2025-03-17,300.0
Z002,2025-03-18,63.0
Z002,2025-03-19,165.0
Z002,2025-03-20,31.0
Z002,2025-03-21,782.0
Z002,2025-03-22,785.0
Z002,2025-03-23,638.0
Z002,2025-03-24,207.0
Z002,2025-03-25,998.0
Z002,2025-03-26,163.0
Z002,2025-03-27,
Z002,2025-03-28,123.0
Z002,2025-03-29,914.0
Z002,2025-03-30,269.0
Z002,2025-03-31,561.0
Z003,2025-01-01,996.0
Z003,2025-01-02,856.0
Z003,2025-01-03,295.0
Z003,2025-01-04,1.0
Z003,2025-01-05,214.0
Z003,2025-01-06,48.0
Z003,2025-01-07,527.0
Z003,2025-01-08,275.0
Z003,2025-01-09,671.0
Z003,2025-01-10,
Z003,2025-01-11,34.0
Z003,2025-01-12,651.0
Z003,2025-01-13,864.0
Z003,2025-01-14,778.0
Z003,2025-01-15,919.0
Z003,2025-01-16,112.0
Z003,2025-01-17,437.0
Z003,2025-01-18,950.0
Z003,2025-01-19,84.0
Z003,2025-01-20,547.0
Z003,2025-01-21,309.0
Z003,2025-01-22,648.0
Z003,2025-01-23,519.0
Z003,2025-01-24,307.0
Z003,2025-01-25,115.0
Z003,2025-01-26,607.0
Z003,2025-01-27,155.0
Z003,2025-01-28,759.0
Z003,2025-01-29,913.0
Z003,2025-01-30,
Z003,2025-01-31,839.0
Z003,2025-02-01,206.0
Z003,2025-02-02,367.0
Z003,2025-02-03,163.0
Z003,2025-02-04,696.0
Z003,2025-02-05,259.0
Z003,2025-02-06,964.0
Z003,2025-02-07,254.0
Z003,2025-02-08,935.0
Z003,2025-02-09,72.0
Z003,2025-02-10,573.0
Z003,2025-02-11,656.0
Z003,2025-02-12,985.0
Z003,2025-02-13,229.0
Z003,2025-02-14,510.0
Z003,2025-02-15,911.0
Z003,2025-02-16,832.0
Z003,2025-02-17,771.0
Z003,2025-02-18,766.0
Z003,2025-02-19,641.0
Z003,2025-02-20,578.0
Z003,2025-02-21,105.0
Z003,2025-02-22,937.0
Z003,2025-02-23,882.0
Z003,2025-02-24,152.0
Z003,2025-02-25,495.0
Z003,2025-02-26,368.0
Z003,2025-02-27,808.0
Z003,2025-02-28,913.0
Z003,2025-03-01,882.0
Z003,2025-03-02,705.0
Z003,2025-03-03,634.0
Z003,2025-03-04,819.0
Z003,2025-03-05,149.0
Z003,2025-03-06,275.0
Z003,2025-03-07,985.0
Z003,2025-03-08,940.0
Z003,2025-03-09,136.0
Z003,2025-03-10,113.0
Z003,2025-03-11,219.0
Z003,2025-03-12,174.0
Z003,2025-03-13,466.0
Z003,2025-03-14,73.0
Z003,2025-03-15,0.0
Z003,2025-03-16,858.0
Z003,2025-03-17,923.0
Z003,2025-03-18,
Z003,2025-03-19,854.0
Z003,2025-03-20,940.0
Z003,2025-03-21,281.0
Z003,2025-03-22,771.0
Z003,2025-03-23,971.0
Z003,2025-03-24,345.0
Z003,2025-03-25,435.0
Z003,2025-03-26,549.0
Z003,2025-03-27,999.0
Z003,2025-03-28,72.0
Z003,2025-03-29,65.0
Z003,2025-03-30,287.0
Z003,2025-03-31,428.0
Z004,2025-01-01,7.0
Z004,2025-01-02,713.0
Z004,2025-01-03,781.0
Z004,2025-01-04,390.0
Z004,2025-01-05,965.0
Z004,2025-01-06,175.0
Z004,2025-01-07,377.0
Z004,2025-01-08,895.0
Z004,2025-01-09,602.0
Z004,2025-01-10,965.0
Z004,2025-01-11,437.0
Z004,2025-01-12,392.0
Z004,2025-01-13,563.0
Z004,2025-01-14,853.0
Z004,2025-01-15,797.0
Z004,2025-01-16,247.0
Z004,2025-01-17,730.0
Z004,2025-01-18,
Z004,2025-01-19,287.0
Z004,2025-01-20,342.0
Z004,2025-01-21,512.0
Z004,2025-01-22,897.0
Z004,2025-01-23,123.0
Z004,2025-01-24,480.0
