zone_id,date,traffic_congestion
Z001,2025-01-01,L
Z001,2025-01-02,M
Z001,2025-01-03,
Z001,2025-01-04,L
Z001,2025-01-05,L
Z001,2025-01-06,H
Z001,2025-01-07,M
Z001,2025-01-08,L
Z001,2025-01-09,
Z001,2025-01-10,M
Z001,2025-01-11,M
Z001,2025-01-12,L
Z001,2025-01-13,M
Z001,2025-01-14,M
Z001,2025-01-15,H
Z001,2025-01-16,M
Z001,2025-01-17,M
Z001,2025-01-18,M
Z001,2025-01-19,H
Z001,2025-01-20,H
Z001,2025-01-21,L
Z001,2025-01-22,L
Z001,2025-01-23,H
Z001,2025-01-24,L
Z001,2025-01-25,L
Z001,2025-01-26,M
Z001,2025-01-27,H
Z001,2025-01-28,L
Z001,2025-01-29,L
Z001,2025-01-30,H
Z001,2025-01-31,m
Z001,2025-02-01,M
Z001,2025-02-02,M
Z001,2025-02-03,L
Z001,2025-02-04,M
Z001,2025-02-05,M
Z001,2025-02-06,H
Z001,2025-02-07,L
Z001,2025-02-08,L
Z001,2025-02-09,M
Z001,2025-02-10,H
Z001,2025-02-11,M
Z001,2025-02-12,L
Z001,2025-02-13,M
Z001,2025-02-14,M
Z001,2025-02-15,L
Z001,2025-02-16,L
Z001,2025-02-17,L
Z001,2025-02-18,M
Z001,2025-02-19,M
Z001,2025-02-20,L
Z001,2025-02-21,m
Z001,2025-02-22,m
Z001,2025-02-23,
Z001,2025-02-24,L
Z001,2025-02-25,L
Z001,2025-02-26,L
Z001,2025-02-27,H
Z001,2025-02-28,L
Z001,2025-03-01,M
Z001,2025-03-02,L
Z001,2025-03-03,
Z001,2025-03-04,H
Z001,2025-03-05,L
Z001,2025-03-06,L
Z001,2025-03-07,L
Z001,2025-03-08,L
Z001,2025-03-09,M
Z001,2025-03-10,L
Z001,2025-03-11,M
Z001,2025-03-12,L
Z001,2025-03-13,H
Z001,2025-03-14,M
Z001,2025-03-15,M
Z001,2025-03-16,
Z001,2025-03-17,L
Z001,2025-03-18,H
Z001,2025-03-19,L
Z001,2025-03-20,M
Z001,2025-03-21,L
Z001,2025-03-22,L
Z001,2025-03-23,M
Z001,2025-03-24,M
Z001,2025-03-25,H
Z001,2025-03-26,L
Z001,2025-03-27,L
Z001,2025-03-28,L
Z001,2025-03-29,L
Z001,2025-03-30,M
Z001,2025-03-31,L
Z002,2025-01-01,L
Z002,2025-01-02,L
Z002,2025-01-03,L
Z002,2025-01-04,M
Z002,2025-01-05,L
Z002,2025-01-06,M
Z002,2025-01-07,L
Z002,2025-01-08,L
Z002,2025-01-09,L
Z002,2025-01-10,M
Z002,2025-01-11,H
Z002,2025-01-12,L
Z002,2025-01-13,H
Z002,2025-01-14,
Z002,2025-01-15,H
Z002,2025-01-16,L
Z002,2025-01-17,L
Z002,2025-01-18,H
Z002,2025-01-19,M
Z002,2025-01-20,M
Z002,2025-01-21,H
Z002,2025-01-22,
Z002,2025-01-23,L
Z002,2025-01-24,L
Z002,2025-01-25,L
Z002,2025-01-26,L
Z002,2025-01-27,L
Z002,2025-01-28,M
Z002,2025-01-29,L
Z002,2025-01-30,H
Z002,2025-01-31,H
Z002,2025-02-01,M
Z002,2025-02-02,L
Z002,2025-02-03,L
Z002,2025-02-04,H
Z002,2025-02-05,M
Z002,2025-02-06,H
Z002,2025-02-07,L
Z002,2025-02-08,L
Z002,2025-02-09,L
Z002,2025-02-10,
Z002,2025-02-11,L
Z002,2025-02-12,L
Z002,2025-02-13,M
Z002,2025-02-14,M
Z002,2025-02-15,L
Z002,2025-02-16,M
Z002,2025-02-17,
Z002,2025-02-18,L
Z002,2025-02-19,L
Z002,2025-02-20,
Z002,2025-02-21,L
Z002,2025-02-22,M
Z002,2025-02-23,
Z002,2025-02-24,L
Z002,2025-02-25,M
Z002,2025-02-26,M
Z002,2025-02-27,L
Z002,2025-02-28,M
Z002,2025-03-01,L
Z002,2025-03-02,L
Z002,2025-03-03,H
Z002,2025-03-04,H
Z002,2025-03-05,M
Z002,2025-03-06,L
Z002,2025-03-07,M
Z002,2025-03-08,L
Z002,2025-03-09,
Z002,2025-03-10,L
Z002,2025-03-11,L
Z002,2025-03-12,L
Z002,2025-03-13,L
Z002,2025-03-14,H
Z002,2025-03-15,M
Z002,2025-03-16,L
Z002,2025-03-17,M
Z002,2025-03-18,H
Z002,2025-03-19,L
Z002,2025-03-20,M
Z002,2025-03-21,M
Z002,2025-03-22,M
Z002,2025-03-23,L
Z002,2025-03-24,L
Z002,2025-03-25,M
Z002,2025-03-26,H
Z002,2025-03-27,M
Z002,2025-03-28,L
Z002,2025-03-29,M
Z002,2025-03-30,M
Z002,2025-03-31,M
Z003,2025-01-01,H
Z003,2025-01-02,L
Z003,2025-01-03,m
Z003,2025-01-04,
Z003,2025-01-05,M
Z003,2025-01-06,
Z003,2025-01-07,M
Z003,2025-01-08,L
Z003,2025-01-09,
Z003,2025-01-10,L
Z003,2025-01-11,
Z003,2025-01-12,M
Z003,2025-01-13,H
Z003,2025-01-14,L
Z003,2025-01-15,M
Z003,2025-01-16,L
Z003,2025-01-17,M
Z003,2025-01-18,L
Z003,2025-01-19,L
Z003,2025-01-20,H
Z003,2025-01-21,H
Z003,2025-01-22,H
Z003,2025-01-23,L
Z003,2025-01-24,L
Z003,2025-01-25,H
Z003,2025-01-26,M
Z003,2025-01-27,H
Z003,2025-01-28,H
Z003,2025-01-29,
Z003,2025-01-30,M
Z003,2025-01-31,H
Z003,2025-02-01,H
Z003,2025-02-02,L
Z003,2025-02-03,M
Z003,2025-02-04,H
Z003,2025-02-05,M
Z003,2025-02-06,L
Z003,2025-02-07,M
Z003,2025-02-08,H
Z003,2025-02-09,L
Z003,2025-02-10,M
Z003,2025-02-11,L
Z003,2025-02-12,L
Z003,2025-02-13,H
Z003,2025-02-14,M
Z003,2025-02-15,M
Z003,2025-02-16,L
Z003,2025-02-17,L
Z003,2025-02-18,L
Z003,2025-02-19,M
Z003,2025-02-20,L
Z003,2025-02-21,L
Z003,2025-02-22,M
Z003,2025-02-23,M
Z003,2025-02-24,L
Z003,2025-02-25,H
Z003,2025-02-26,L
Z003,2025-02-27,
Z003,2025-02-28,M
Z003,2025-03-01,M
Z003,2025-03-02,H
Z003,2025-03-03,H
Z003,2025-03-04,M
Z003,2025-03-05,M
Z003,2025-03-06,
Z003,2025-03-07,M
Z003,2025-03-08,H
