zone_id,date,bike_availability
Z001,2025-01-01,32.0
Z001,2025-01-02,150.0
Z001,2025-01-03,120.0
Z001,2025-01-04,9.0
Z001,2025-01-05,106.0
Z001,2025-01-06,
Z001,2025-01-07,102.0
Z001,2025-01-08,105.0
Z001,2025-01-09,75.0
Z001,2025-01-10,3.0
Z001,2025-01-11,58.0
Z001,2025-01-12,195.0
Z001,2025-01-13,130.0
Z001,2025-01-14,56.0
Z001,2025-01-15,114.0
Z001,2025-01-16,
Z001,2025-01-17,78.0
Z001,2025-01-18,157.0
Z001,2025-01-19,64.0
Z001,2025-01-20,161.0
Z001,2025-01-21,121.0
Z001,2025-01-22,21.0
Z001,2025-01-23,
Z001,2025-01-24,135.0
Z001,2025-01-25,11.0
Z001,2025-01-26,117.0
Z001,2025-01-27,
Z001,2025-01-28,162.0
Z001,2025-01-29,78.0
Z001,2025-01-30,163.0
Z001,2025-01-31,27.0
Z001,2025-02-01,109.0
Z001,2025-02-02,35.0
Z001,2025-02-03,72.0
Z001,2025-02-04,169.0
Z001,2025-02-05,9.0
Z001,2025-02-06,107.0
Z001,2025-02-07,126.0
Z001,2025-02-08,198.0
Z001,2025-02-09,104.0
Z001,2025-02-10,185.0
Z001,2025-02-11,171.0
Z001,2025-02-12,142.0
Z001,2025-02-13,135.0
Z001,2025-02-14,130.0
Z001,2025-02-15,139.0
Z001,2025-02-16,119.0
Z001,2025-02-17,109.0
Z001,2025-02-18,127.0
Z001,2025-02-19,137.0
Z001,2025-02-20,62.0
Z001,2025-02-21,122.0
Z001,2025-02-22,76.0
Z001,2025-02-23,142.0
Z001,2025-02-24,171.0
Z001,2025-02-25,53.0
Z001,2025-02-26,114.0
Z001,2025-02-27,
Z001,2025-02-28,158.0
Z001,2025-03-01,193.0
Z001,2025-03-02,85.0
Z001,2025-03-03,39.0
Z001,2025-03-04,109.0
Z001,2025-03-05,69.0
Z001,2025-03-06,21.0
Z001,2025-03-07,199.0
Z001,2025-03-08,6.0
Z001,2025-03-09,35.0
Z001,2025-03-10,161.0
Z001,2025-03-11,32.0
Z001,2025-03-12,179.0
Z001,2025-03-13,2.0
Z001,2025-03-14,42.0
Z001,2025-03-15,125.0
Z001,2025-03-16,100.0
Z001,2025-03-17,191.0
Z001,2025-03-18,12.0
Z001,2025-03-19,90.0
Z001,2025-03-20,157.0
Z001,2025-03-21,
Z001,2025-03-22,108.0
Z001,2025-03-23,17.0
Z001,2025-03-24,55.0
Z001,2025-03-25,174.0
Z001,2025-03-26,73.0
Z001,2025-03-27,20.0
Z001,2025-03-28,47.0
Z001,2025-03-29,70.0
Z001,2025-03-30,163.0
Z001,2025-03-31,61.0
Z002,2025-01-01,148.0
Z002,2025-01-02,89.0
Z002,2025-01-03,80.0
Z002,2025-01-04,22.0
Z002,2025-01-05,139.0
Z002,2025-01-06,70.0
Z002,2025-01-07,190.0
Z002,2025-01-08,148.0
Z002,2025-01-09,61.0
Z002,2025-01-10,27.0
Z002,2025-01-11,113.0
Z002,2025-01-12,48.0
Z002,2025-01-13,160.0
Z002,2025-01-14,104.0
Z002,2025-01-15,
Z002,2025-01-16,175.0
Z002,2025-01-17,132.0
Z002,2025-01-18,85.0
Z002,2025-01-19,133.0
Z002,2025-01-20,154.0
Z002,2025-01-21,174.0
Z002,2025-01-22,89.0
Z002,2025-01-23,48.0
Z002,2025-01-24,
Z002,2025-01-25,176.0
Z002,2025-01-26,28.0
Z002,2025-01-27,100.0
Z002,2025-01-28,39.0
Z002,2025-01-29,70.0
Z002,2025-01-30,13.0
Z002,2025-01-31,120.0
Z002,2025-02-01,
Z002,2025-02-02,140.0
Z002,2025-02-03,99.0
Z002,2025-02-04,34.0
Z002,2025-02-05,56.0
Z002,2025-02-06,135.0
Z002,2025-02-07,110.0
Z002,2025-02-08,
Z002,2025-02-09,64.0
Z002,2025-02-10,
Z002,2025-02-11,53.0
Z002,2025-02-12,6.0
Z002,2025-02-13,193.0
Z002,2025-02-14,157.0
Z002,2025-02-15,174.0
Z002,2025-02-16,178.0
Z002,2025-02-17,128.0
Z002,2025-02-18,169.0
Z002,2025-02-19,41.0
Z002,2025-02-20,130.0
Z002,2025-02-21,20.0
Z002,2025-02-22,48.0
Z002,2025-02-23,
Z002,2025-02-24,3.0
Z002,2025-02-25,118.0
Z002,2025-02-26,58.0
Z002,2025-02-27,153.0
Z002,2025-02-28,119.0
Z002,2025-03-01,
Z002,2025-03-02,180.0
Z002,2025-03-03,33.0
Z002,2025-03-04,1.0
Z002,2025-03-05,81.0
Z002,2025-03-06,18.0
Z002,2025-03-07,198.0
Z002,2025-03-08,66.0
Z002,2025-03-09,79.0
Z002,2025-03-10,68.0
Z002,2025-03-11,
Z002,2025-03-12,13.0
Z002,2025-03-13,139.0
Z002,2025-03-14,106.0
Z002,2025-03-15,81.0
Z002,2025-03-16,189.0
Z002,2025-03-17,165.0
Z002,2025-03-18,77.0
Z002,2025-03-19,54.0
Z002,2025-03-20,28.0
Z002,2025-03-21,12.0
Z002,2025-03-22,115.0
Z002,2025-03-23,102.0
Z002,2025-03-24,120.0
Z002,2025-03-25,190.0
Z002,2025-03-26,155.0
Z002,2025-03-27,58.0
Z002,2025-03-28,91.0
Z002,2025-03-29,43.0
Z002,2025-03-30,82.0
Z002,2025-03-31,50.0
Z003,2025-01-01,165.0
Z003,2025-01-02,136.0
Z003,2025-01-03,195.0
Z003,2025-01-04,152.0
Z003,2025-01-05,150.0
Z003,2025-01-06,77.0
Z003,2025-01-07,123.0
Z003,2025-01-08,188.0
Z003,2025-01-09,85.0
Z003,2025-01-10,190.0
Z003,2025-01-11,120.0
Z003,2025-01-12,169.0
Z003,2025-01-13,61.0
Z003,2025-01-14,168.0
Z003,2025-01-15,23.0
Z003,2025-01-16,
Z003,2025-01-17,116.0
Z003,2025-01-18,3.0
Z003,2025-01-19,143.0
Z003,2025-01-20,134.0
Z003,2025-01-21,183.0
Z003,2025-01-22,
Z003,2025-01-23,
Z003,2025-01-24,70.0
Z003,2025-01-25,39.0
Z003,2025-01-26,66.0
Z003,2025-01-27,80.0
Z003,2025-01-28,19.0
Z003,2025-01-29,84.0
Z003,2025-01-30,195.0
Z003,2025-01-31,173.0
Z003,2025-02-01,164.0
Z003,2025-02-02,66.0
Z003,2025-02-03,
Z003,2025-02-04,70.0
Z003,2025-02-05,77.0
Z003,2025-02-06,142.0
Z003,2025-02-07,121.0
Z003,2025-02-08,103.0
Z003,2025-02-09,192.0
Z003,2025-02-10,178.0
Z003,2025-02-11,71.0
Z003,2025-02-12,198.0
Z003,2025-02-13,145.0
Z003,2025-02-14,5.0
Z003,2025-02-15,149.0
Z003,2025-02-16,140.0
Z003,2025-02-17,182.0
Z003,2025-02-18,174.0
Z003,2025-02-19,164.0
Z003,2025-02-20,84.0
Z003,2025-02-21,100.0
Z003,2025-02-22,69.0
Z003,2025-02-23,46.0
Z003,2025-02-24,177.0
Z003,2025-02-25,38.0
Z003,2025-02-26,104.0
Z003,2025-02-27,134.0
Z003,2025-02-28,73.0
Z003,2025-03-01,164.0
Z003,2025-03-02,63.0
Z003,2025-03-03,21.0
Z003,2025-03-04,76.0
Z003,2025-03-05,40.0
Z003,2025-03-06,126.0
Z003,2025-03-07,56.0
Z003,2025-03-08,188.0
Z003,2025-03-09,124.0
Z003,2025-03-10,14.0
Z003,2025-03-11,79.0
Z003,2025-03-12,43.0
Z003,2025-03-13,123.0
Z003,2025-03-14,138.0
Z003,2025-03-15,37.0
Z003,2025-03-16,7.0
Z003,2025-03-17,30.0
Z003,2025-03-18,68.0
Z003,2025-03-19,10.0
Z003,2025-03-20,192.0
Z003,2025-03-21,152.0
Z003,2025-03-22,
Z003,2025-03-23,154.0
Z003,2025-03-24,165.0
Z003,2025-03-25,146.0
Z003,2025-03-26,19.0
Z003,2025-03-27,13.0
Z003,2025-03-28,140.0
Z003,2025-03-29,142.0
Z003,2025-03-30,146.0
Z003,2025-03-31,134.0
Z004,2025-01-01,131.0
Z004,2025-01-02,
Z004,2025-01-03,108.0
Z004,2025-01-04,151.0
Z004,2025-01-05,121.0
Z004,2025-01-06,144.0
Z004,2025-01-07,14.0
Z004,2025-01-08,
Z004,2025-01-09,181.0
Z004,2025-01-10,28.0
Z004,2025-01-11,93.0
Z004,2025-01-12,119.0
Z004,2025-01-13,56.0
Z004,2025-01-14,105.0
Z004,2025-01-15,156.0
Z004,2025-01-16,195.0
Z004,2025-01-17,
Z004,2025-01-18,20.0
Z004,2025-01-19,
Z004,2025-01-20,178.0
Z004,2025-01-21,176.0
Z004,2025-01-22,185.0
Z004,2025-01-23,163.0
Z004,2025-01-24,91.0
Z004,2025-01-25,22.0
Z004,2025-01-26,180.0
Z004,2025-01-27,80.0
Z004,2025-01-28,54.0
Z004,2025-01-29,170.0
Z004,2025-01-30,113.0
Z004,2025-01-31,148.0
Z004,2025-02-01,78.0
Z004,2025-02-02,96.0
Z004,2025-02-03,72.0
Z004,2025-02-04,7.0
Z004,2025-02-05,44.0
Z004,2025-02-06,160.0
Z004,2025-02-07,109.0
Z004,2025-02-08,73.0
Z004,2025-02-09,168.0
Z004,2025-02-10,98.0
Z004,2025-02-11,29.0
Z004,2025-02-12,55.0
Z004,2025-02-13,139.0
Z004,2025-02-14,91.0
Z004,2025-02-15,60.0
Z004,2025-02-16,109.0
Z004,2025-02-17,
Z004,2025-02-18,30.0
Z004,2025-02-19,129.0
Z004,2025-02-20,8.0
Z004,2025-02-21,
Z004,2025-02-22,98.0
Z004,2025-02-23,179.0
Z004,2025-02-24,52.0
Z004,2025-02-25,161.0
Z004,2025-02-26,72.0
Z004,2025-02-27,
Z004,2025-02-28,12.0
Z004,2025-03-01,57.0
Z004,2025-03-02,91.0
Z004,2025-03-03,52.0
Z004,2025-03-04,159.0
Z004,2025-03-05,80.0
Z004,2025-03-06,176.0
Z004,2025-03-07,161.0
Z004,2025-03-08,8.0
Z004,2025-03-09,10.0
Z004,2025-03-10,59.0
Z004,2025-03-11,
Z004,2025-03-12,152.0
Z004,2025-03-13,14.0
Z004,2025-03-14,59.0
Z004,2025-03-15,20.0
Z004,2025-03-16,96.0
Z004,2025-03-17,35.0
Z004,2025-03-18,7.0
Z004,2025-03-19,
Z004,2025-03-20,155.0
Z004,2025-03-21,107.0
Z004,2025-03-22,123.0
Z004,2025-03-23,135.0
Z004,2025-03-24,50.0
Z004,2025-03-25,
Z004,2025-03-26,160.0
Z004,2025-03-27,145.0
Z004,2025-03-28,134.0
Z004,2025-03-29,29.0
Z004,2025-03-30,9.0
Z004,2025-03-31,86.0
Z005,2025-01-01,36.0
Z005,2025-01-02,102.0
Z005,2025-01-03,183.0
Z005,2025-01-04,178.0
Z005,2025-01-05,
Z005,2025-01-06,59.0
Z005,2025-01-07,105.0
Z005,2025-01-08,42.0
Z005,2025-01-09,29.0
Z005,2025-01-10,77.0
Z005,2025-01-11,189.0
Z005,2025-01-12,169.0
Z005,2025-01-13,16.0
Z005,2025-01-14,126.0
Z005,2025-01-15,56.0
Z005,2025-01-16,156.0
Z005,2025-01-17,49.0
Z005,2025-01-18,142.0
Z005,2025-01-19,104.0
Z005,2025-01-20,8.0
Z005,2025-01-21,24.0
Z005,2025-01-22,44.0
Z005,2025-01-23,178.0
Z005,2025-01-24,61.0
Z005,2025-01-25,111.0
Z005,2025-01-26,36.0
Z005,2025-01-27,101.0
Z005,2025-01-28,66.0
Z005,2025-01-29,92.0
Z005,2025-01-30,181.0
Z005,2025-01-31,90.0
Z005,2025-02-01,73.0
Z005,2025-02-02,87.0
Z005,2025-02-03,47.0
Z005,2025-02-04,195.0
Z005,2025-02-05,144.0
Z005,2025-02-06,133.0
Z005,2025-02-07,103.0
Z005,2025-02-08,142.0
