zone_id,date,parking_capacity
Z001,2025-01-01,229.0
Z001,2025-01-02,847.0
Z001,2025-01-03,926.0
Z001,2025-01-04,833.0
Z001,2025-01-05,
Z001,2025-01-06,478.0
Z001,2025-01-07,269.0
Z001,2025-01-08,619.0
Z001,2025-01-09,795.0
Z001,2025-01-10,455.0
Z001,2025-01-11,203.0
Z001,2025-01-12,506.0
Z001,2025-01-13,394.0
Z001,2025-01-14,949.0
Z001,2025-01-15,897.0
Z001,2025-01-16,203.0
Z001,2025-01-17,662.0
Z001,2025-01-18,101.0
Z001,2025-01-19,976.0
Z001,2025-01-20,251.0
Z001,2025-01-21,886.0
Z001,2025-01-22,442.0
Z001,2025-01-23,503.0
Z001,2025-01-24,282.0
Z001,2025-01-25,425.0
Z001,2025-01-26,756.0
Z001,2025-01-27,468.0
Z001,2025-01-28,932.0
Z001,2025-01-29,725.0
Z001,2025-01-30,200.0
Z001,2025-01-31,401.0
Z001,2025-02-01,689.0
Z001,2025-02-02,482.0
Z001,2025-02-03,561.0
Z001,2025-02-04,905.0
Z001,2025-02-05,773.0
Z001,2025-02-06,103.0
Z001,2025-02-07,121.0
Z001,2025-02-08,440.0
Z001,2025-02-09,776.0
Z001,2025-02-10,436.0
Z001,2025-02-11,769.0
Z001,2025-02-12,825.0
Z001,2025-02-13,299.0
Z001,2025-02-14,755.0
Z001,2025-02-15,656.0
Z001,2025-02-16,128.0
Z001,2025-02-17,591.0
Z001,2025-02-18,930.0
Z001,2025-02-19,650.0
Z001,2025-02-20,
Z001,2025-02-21,467.0
Z001,2025-02-22,244.0
Z001,2025-02-23,206.0
Z001,2025-02-24,806.0
Z001,2025-02-25,420.0
Z001,2025-02-26,776.0
Z001,2025-02-27,762.0
Z001,2025-02-28,598.0
Z001,2025-03-01,569.0
Z001,2025-03-02,942.0
Z001,2025-03-03,366.0
Z001,2025-03-04,879.0
Z001,2025-03-05,664.0
Z001,2025-03-06,810.0
Z001,2025-03-07,
Z001,2025-03-08,423.0
Z001,2025-03-09,871.0
Z001,2025-03-10,879.0
Z001,2025-03-11,369.0
Z001,2025-03-12,436.0
Z001,2025-03-13,896.0
Z001,2025-03-14,509.0
Z001,2025-03-15,505.0
Z001,2025-03-16,654.0
Z001,2025-03-17,456.0
Z001,2025-03-18,443.0
Z001,2025-03-19,987.0
Z001,2025-03-20,168.0
Z001,2025-03-21,465.0
Z001,2025-03-22,168.0
Z001,2025-03-23,872.0
Z001,2025-03-24,692.0
Z001,2025-03-25,374.0
Z001,2025-03-26,636.0
Z001,2025-03-27,110.0
Z001,2025-03-28,922.0
Z001,2025-03-29,860.0
Z001,2025-03-30,494.0
Z001,2025-03-31,821.0
Z002,2025-01-01,317.0
Z002,2025-01-02,
Z002,2025-01-03,
Z002,2025-01-04,891.0
Z002,2025-01-05,932.0
Z002,2025-01-06,775.0
Z002,2025-01-07,198.0
Z002,2025-01-08,
Z002,2025-01-09,884.0
Z002,2025-01-10,760.0
Z002,2025-01-11,797.0
Z002,2025-01-12,124.0
Z002,2025-01-13,661.0
Z002,2025-01-14,720.0
Z002,2025-01-15,901.0
Z002,2025-01-16,947.0
Z002,2025-01-17,
Z002,2025-01-18,769.0
Z002,2025-01-19,703.0
Z002,2025-01-20,809.0
Z002,2025-01-21,291.0
Z002,2025-01-22,941.0
Z002,2025-01-23,926.0
Z002,2025-01-24,917.0
Z002,2025-01-25,441.0
Z002,2025-01-26,822.0
Z002,2025-01-27,871.0
Z002,2025-01-28,141.0
Z002,2025-01-29,313.0
Z002,2025-01-30,327.0
Z002,2025-01-31,751.0
Z002,2025-02-01,146.0
Z002,2025-02-02,877.0
Z002,2025-02-03,840.0
Z002,2025-02-04,320.0
Z002,2025-02-05,207.0
Z002,2025-02-06,771.0
Z002,2025-02-07,
Z002,2025-02-08,624.0
Z002,2025-02-09,336.0
Z002,2025-02-10,731.0
Z002,2025-02-11,364.0
Z002,2025-02-12,245.0
Z002,2025-02-13,404.0
Z002,2025-02-14,371.0
Z002,2025-02-15,938.0
Z002,2025-02-16,695.0
Z002,2025-02-17,988.0
Z002,2025-02-18,912.0
Z002,2025-02-19,823.0
Z002,2025-02-20,152.0
Z002,2025-02-21,
Z002,2025-02-22,444.0
Z002,2025-02-23,747.0
Z002,2025-02-24,651.0
Z002,2025-02-25,688.0
Z002,2025-02-26,286.0
Z002,2025-02-27,159.0
Z002,2025-02-28,447.0
Z002,2025-03-01,575.0
Z002,2025-03-02,588.0
Z002,2025-03-03,810.0
Z002,2025-03-04,396.0
Z002,2025-03-05,490.0
Z002,2025-03-06,620.0
Z002,2025-03-07,586.0
Z002,2025-03-08,909.0
Z002,2025-03-09,501.0
Z002,2025-03-10,345.0
Z002,2025-03-11,108.0
Z002,2025-03-12,470.0
Z002,2025-03-13,884.0
Z002,2025-03-14,959.0
Z002,2025-03-15,418.0
Z002,2025-03-16,408.0
Z002,2025-03-17,315.0
Z002,2025-03-18,195.0
Z002,2025-03-19,691.0
Z002,2025-03-20,997.0
Z002,2025-03-21,873.0
Z002,2025-03-22,438.0
Z002,2025-03-23,161.0
Z002,2025-03-24,
Z002,2025-03-25,149.0
Z002,2025-03-26,284.0
Z002,2025-03-27,821.0
Z002,2025-03-28,219.0
Z002,2025-03-29,250.0
Z002,2025-03-30,642.0
Z002,2025-03-31,902.0
Z003,2025-01-01,718.0
Z003,2025-01-02,322.0
Z003,2025-01-03,227.0
Z003,2025-01-04,522.0
Z003,2025-01-05,125.0
Z003,2025-01-06,899.0
Z003,2025-01-07,645.0
Z003,2025-01-08,359.0
Z003,2025-01-09,256.0
Z003,2025-01-10,305.0
Z003,2025-01-11,833.0
Z003,2025-01-12,242.0
Z003,2025-01-13,
Z003,2025-01-14,316.0
Z003,2025-01-15,618.0
Z003,2025-01-16,499.0
Z003,2025-01-17,
Z003,2025-01-18,259.0
Z003,2025-01-19,829.0
Z003,2025-01-20,928.0
Z003,2025-01-21,672.0
Z003,2025-01-22,131.0
Z003,2025-01-23,684.0
Z003,2025-01-24,547.0
Z003,2025-01-25,532.0
Z003,2025-01-26,964.0
Z003,2025-01-27,724.0
Z003,2025-01-28,150.0
Z003,2025-01-29,
Z003,2025-01-30,644.0
Z003,2025-01-31,416.0
Z003,2025-02-01,904.0
Z003,2025-02-02,565.0
Z003,2025-02-03,950.0
Z003,2025-02-04,549.0
Z003,2025-02-05,
Z003,2025-02-06,824.0
Z003,2025-02-07,500.0
Z003,2025-02-08,422.0
Z003,2025-02-09,
Z003,2025-02-10,575.0
Z003,2025-02-11,961.0
Z003,2025-02-12,851.0
Z003,2025-02-13,898.0
Z003,2025-02-14,151.0
Z003,2025-02-15,666.0
Z003,2025-02-16,188.0
Z003,2025-02-17,297.0
Z003,2025-02-18,729.0
Z003,2025-02-19,328.0
Z003,2025-02-20,612.0
Z003,2025-02-21,855.0
Z003,2025-02-22,606.0
Z003,2025-02-23,538.0
Z003,2025-02-24,340.0
Z003,2025-02-25,680.0
Z003,2025-02-26,267.0
Z003,2025-02-27,165.0
Z003,2025-02-28,378.0
Z003,2025-03-01,333.0
Z003,2025-03-02,631.0
Z003,2025-03-03,232.0
Z003,2025-03-04,843.0
Z003,2025-03-05,734.0
Z003,2025-03-06,483.0
Z003,2025-03-07,560.0
Z003,2025-03-08,691.0
Z003,2025-03-09,604.0
Z003,2025-03-10,384.0
Z003,2025-03-11,459.0
Z003,2025-03-12,647.0
Z003,2025-03-13,118.0
Z003,2025-03-14,524.0
Z003,2025-03-15,836.0
Z003,2025-03-16,973.0
Z003,2025-03-17,113.0
Z003,2025-03-18,575.0
Z003,2025-03-19,377.0
Z003,2025-03-20,470.0
Z003,2025-03-21,327.0
Z003,2025-03-22,269.0
Z003,2025-03-23,648.0
Z003,2025-03-24,282.0
Z003,2025-03-25,493.0
Z003,2025-03-26,931.0
Z003,2025-03-27,774.0
Z003,2025-03-28,171.0
Z003,2025-03-29,
Z003,2025-03-30,
Z003,2025-03-31,981.0
Z004,2025-01-01,850.0
Z004,2025-01-02,650.0
Z004,2025-01-03,576.0
Z004,2025-01-04,321.0
Z004,2025-01-05,894.0
Z004,2025-01-06,252.0
Z004,2025-01-07,969.0
Z004,2025-01-08,655.0
Z004,2025-01-09,212.0
Z004,2025-01-10,134.0
Z004,2025-01-11,313.0
Z004,2025-01-12,224.0
Z004,2025-01-13,972.0
Z004,2025-01-14,278.0
Z004,2025-01-15,400.0
Z004,2025-01-16,987.0
Z004,2025-01-17,873.0
Z004,2025-01-18,105.0
Z004,2025-01-19,587.0
Z004,2025-01-20,286.0
Z004,2025-01-21,256.0
Z004,2025-01-22,894.0
Z004,2025-01-23,269.0
Z004,2025-01-24,348.0
Z004,2025-01-25,331.0
Z004,2025-01-26,939.0
Z004,2025-01-27,
Z004,2025-01-28,472.0
Z004,2025-01-29,352.0
Z004,2025-01-30,751.0
Z004,2025-01-31,339.0
Z004,2025-02-01,269.0
Z004,2025-02-02,641.0
Z004,2025-02-03,599.0
Z004,2025-02-04,468.0
Z004,2025-02-05,322.0
Z004,2025-02-06,682.0
Z004,2025-02-07,776.0
Z004,2025-02-08,977.0
Z004,2025-02-09,514.0
Z004,2025-02-10,407.0
Z004,2025-02-11,218.0
Z004,2025-02-12,693.0
Z004,2025-02-13,159.0
Z004,2025-02-14,825.0
Z004,2025-02-15,270.0
Z004,2025-02-16,490.0
Z004,2025-02-17,980.0
Z004,2025-02-18,698.0
Z004,2025-02-19,395.0
Z004,2025-02-20,218.0
Z004,2025-02-21,716.0
Z004,2025-02-22,506.0
Z004,2025-02-23,157.0
Z004,2025-02-24,340.0
Z004,2025-02-25,244.0
Z004,2025-02-26,131.0
Z004,2025-02-27,160.0
Z004,2025-02-28,210.0
Z004,2025-03-01,
Z004,2025-03-02,843.0
Z004,2025-03-03,
Z004,2025-03-04,783.0
Z004,2025-03-05,730.0
Z004,2025-03-06,343.0
Z004,2025-03-07,854.0
Z004,2025-03-08,
Z004,2025-03-09,207.0
Z004,2025-03-10,165.0
Z004,2025-03-11,350.0
Z004,2025-03-12,
Z004,2025-03-13,690.0
Z004,2025-03-14,498.0
Z004,2025-03-15,949.0
Z004,2025-03-16,652.0
Z004,2025-03-17,779.0
Z004,2025-03-18,265.0
Z004,2025-03-19,638.0
Z004,2025-03-20,717.0
Z004,2025-03-21,103.0
Z004,2025-03-22,970.0
Z004,2025-03-23,395.0
Z004,2025-03-24,650.0
Z004,2025-03-25,577.0
Z004,2025-03-26,260.0
Z004,2025-03-27,926.0
Z004,2025-03-28,927.0
Z004,2025-03-29,871.0
Z004,2025-03-30,670.0
Z004,2025-03-31,
Z005,2025-01-01,606.0
Z005,2025-01-02,536.0
Z005,2025-01-03,
Z005,2025-01-04,884.0
Z005,2025-01-05,492.0
Z005,2025-01-06,363.0
Z005,2025-01-07,582.0
Z005,2025-01-08,247.0
Z005,2025-01-09,640.0
Z005,2025-01-10,125.0
Z005,2025-01-11,431.0
Z005,2025-01-12,809.0
Z005,2025-01-13,316.0
Z005,2025-01-14,536.0
Z005,2025-01-15,389.0
Z005,2025-01-16,589.0
Z005,2025-01-17,893.0
Z005,2025-01-18,
Z005,2025-01-19,148.0
Z005,2025-01-20,414.0
Z005,2025-01-21,611.0
Z005,2025-01-22,335.0
Z005,2025-01-23,443.0
Z005,2025-01-24,861.0
Z005,2025-01-25,597.0
Z005,2025-01-26,807.0
Z005,2025-01-27,281.0
Z005,2025-01-28,884.0
Z005,2025-01-29,451.0
Z005,2025-01-30,403.0
Z005,2025-01-31,
Z005,2025-02-01,536.0
Z005,2025-02-02,728.0
Z005,2025-02-03,357.0
Z005,2025-02-04,486.0
Z005,2025-02-05,796.0
Z005,2025-02-06,
Z005,2025-02-07,502.0
Z005,2025-02-08,626.0
Z005,2025-02-09,661.0
Z005,2025-02-10,708.0
Z005,2025-02-11,340.0
Z005,2025-02-12,951.0
Z005,2025-02-13,104.0
Z005,2025-02-14,801.0
Z005,2025-02-15,266.0
Z005,2025-02-16,138.0
Z005,2025-02-17,859.0
Z005,2025-02-18,399.0
Z005,2025-02-19,416.0
Z005,2025-02-20,226.0
Z005,2025-02-21,
Z005,2025-02-22,381.0
Z005,2025-02-23,171.0
Z005,2025-02-24,654.0
Z005,2025-02-25,720.0
Z005,2025-02-26,948.0
Z005,2025-02-27,754.0
Z005,2025-02-28,264.0
Z005,2025-03-01,320.0
Z005,2025-03-02,596.0
Z005,2025-03-03,918.0
Z005,2025-03-04,933.0
Z005,2025-03-05,387.0
Z005,2025-03-06,570.0
Z005,2025-03-07,242.0
Z005,2025-03-08,263.0
Z005,2025-03-09,303.0
Z005,2025-03-10,150.0
Z005,2025-03-11,914.0
Z005,2025-03-12,761.0
Z005,2025-03-13,249.0
Z005,2025-03-14,737.0
Z005,2025-03-15,645.0
Z005,2025-03-16,477.0
Z005,2025-03-17,745.0
Z005,2025-03-18,635.0
Z005,2025-03-19,148.0
Z005,2025-03-20,706.0
Z005,2025-03-21,982.0
Z005,2025-03-22,377.0
Z005,2025-03-23,333.0
Z005,2025-03-24,779.0
Z005,2025-03-25,
Z005,2025-03-26,795.0
Z005,2025-03-27,
Z005,2025-03-28,484.0
Z005,2025-03-29,581.0
Z005,2025-03-30,393.0
Z005,2025-03-31,939.0
Z006,2025-01-01,492.0
Z006,2025-01-02,333.0
Z006,2025-01-03,342.0
Z006,2025-01-04,758.0
Z006,2025-01-05,931.0
Z006,2025-01-06,344.0
Z006,2025-01-07,867.0
Z006,2025-01-08,628.0
Z006,2025-01-09,798.0
Z006,2025-01-10,318.0
Z006,2025-01-11,
Z006,2025-01-12,599.0
Z006,2025-01-13,786.0
Z006,2025-01-14,251.0
Z006,2025-01-15,937.0
Z006,2025-01-16,764.0
Z006,2025-01-17,683.0
Z006,2025-01-18,199.0
Z006,2025-01-19,812.0
Z006,2025-01-20,766.0
Z006,2025-01-21,961.0
Z006,2025-01-22,589.0
Z006,2025-01-23,924.0
Z006,2025-01-24,419.0
Z006,2025-01-25,522.0
Z006,2025-01-26,106.0
Z006,2025-01-27,251.0
Z006,2025-01-28,320.0
Z006,2025-01-29,187.0
Z006,2025-01-30,602.0
Z006,2025-01-31,908.0
Z006,2025-02-01,729.0
Z006,2025-02-02,769.0
Z006,2025-02-03,
Z006,2025-02-04,295.0
Z006,2025-02-05,296.0
Z006,2025-02-06,502.0
Z006,2025-02-07,569.0
Z006,2025-02-08,554.0
Z006,2025-02-09,466.0
Z006,2025-02-10,680.0
Z006,2025-02-11,311.0
Z006,2025-02-12,202.0
Z006,2025-02-13,461.0
Z006,2025-02-14,
Z006,2025-02-15,311.0
Z006,2025-02-16,971.0
Z006,2025-02-17,996.0
Z006,2025-02-18,
Z006,2025-02-19,646.0
Z006,2025-02-20,569.0
Z006,2025-02-21,191.0
Z006,2025-02-22,373.0
Z006,2025-02-23,849.0
Z006,2025-02-24,210.0
Z006,2025-02-25,
Z006,2025-02-26,515.0
Z006,2025-02-27,966.0
Z006,2025-02-28,291.0
Z006,2025-03-01,378.0
Z006,2025-03-02,307.0
Z006,2025-03-03,
Z006,2025-03-04,167.0
Z006,2025-03-05,
Z006,2025-03-06,366.0
Z006,2025-03-07,
Z006,2025-03-08,451.0
Z006,2025-03-09,625.0
Z006,2025-03-10,
Z006,2025-03-11,556.0
Z006,2025-03-12,257.0
Z006,2025-03-13,441.0
Z006,2025-03-14,548.0
Z006,2025-03-15,318.0
